method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
unaware,-170.075536833235,103.67290517398348,-20.3678544614903,90.0,1,2.0133337356250003,0.3221333977000001,83.94546611319069,276.03114599000236,0.15311849117279053,0.20471835136413574,15
unaware,-147.53528907939625,99.21193797561108,-15.792174762065168,90.0,1,2.0115440390357144,0.32165571833833345,82.86139658693608,273.3582721687497,0.12665164470672607,0.15188217163085938,16
unaware,-146.94803622454612,99.68237519348227,-25.683348801755887,80.0,2,2.018931757764286,0.32303475916933344,81.55127344530119,271.75757294999823,0.12640225887298584,0.15258026123046875,17
unaware,-111.37078266928701,91.15765268197451,10.936607040924144,80.0,2,2.0275384472,0.32475893584000004,84.25096004142155,283.69303299999945,0.12511301040649414,0.1505265235900879,18
unaware,-119.23815832191231,93.0954473859526,1.083607121518165,70.0,3,2.01871883729,0.32299501391200014,101.04948625052062,324.8193775187555,0.11938631534576416,0.1371593475341797,19
unaware,-133.02144585408138,93.57590795281196,7.82207826137352,90.0,1,2.018718835675,0.3229950137080001,84.6141237364621,275.60759954500236,0.13179266452789307,0.16122817993164062,20
reactive,-169.8882158739486,105.99058696189218,3.66819880028511,90.0,1,1.9639756601875,0.31423610563000015,89.85069246602697,289.8465708187497,0.11386919021606445,0.13426828384399414,1
reactive,-150.66592106199275,100.29931324083097,9.75836385746137,80.0,2,1.9895813369285715,0.3175560139433334,85.39438383086295,281.88702289,0.11246347427368164,0.13698148727416992,2
reactive,-151.4394066035746,99.49478979927208,9.643302138303605,90.0,1,2.0187188357807146,0.32299501374240003,84.58057087580278,279.7840699500024,0.12465965747833252,0.14046740531921387,3
reactive,-113.19679119178389,92.32078856954898,-2.780474731507565,80.0,2,2.02025066163,0.3233013787506668,90.56732572986485,291.7628041966301,0.1307607889175415,0.15482330322265625,4
reactive,-135.1724257486503,94.39890655244227,5.173910078583024,80.0,2,2.0187188351666667,0.32299501362666677,90.65975105824884,291.4407348449994,0.1769564151763916,0.23368024826049805,5
reactive,-111.37431132047837,91.94033608960584,5.849084600099877,90.0,1,1.9818848625,0.3180838173333335,86.21255229410885,289.41205715,0.1262890100479126,0.1414330005645752,6
reactive,-175.89744801973546,110.0846400146936,7.459710707348651,90.0,1,2.0187188369125,0.3229950139060001,98.65563041456568,323.806227044993,0.12696802616119385,0.16117453575134277,7
reactive,-129.78639752132108,95.80356309975221,-5.149795298894296,90.0,1,1.9660180045833333,0.31667091395000013,89.60375953927593,298.2915645187479,0.12397515773773193,0.1529073715209961,8
reactive,-111.85269844795589,96.33813078215884,8.149320899067945,80.0,2,2.018718839,0.3229950142266668,95.48363565688699,316.1873793999989,0.1338815689086914,0.1659696102142334,9
