method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
Detector only (all off),-171.9044247849311,105.62801385048506,3.997731090742093,90.0,1,2.0035012834374997,0.3205602053500001,89.85069246602697,289.8465708187497,0.11602222919464111,0.13543057441711426,1
Detector only (all off),-152.91258334945206,99.5741669489608,10.410794923105199,80.0,2,2.023460442142857,0.32388011362000024,85.39438383086295,281.88702289,0.1141970157623291,0.1336357593536377,2
Detector only (all off),-153.2155120574504,98.40122272326923,10.63643062349602,90.0,1,2.018718837642857,0.3229950140366668,84.58057087580278,279.7840699500024,0.12259948253631592,0.1501612663269043,3
Detector only (all off),-114.37452969687172,91.59564245287696,-1.9731715956042957,80.0,2,2.0202506623999996,0.32330137892000016,90.56732572986485,291.7628041966301,0.11170852184295654,0.1302807331085205,4
Detector only (all off),-136.35966195797843,93.6679126415491,5.908211956199119,80.0,2,2.0187188370833336,0.3229950139333335,90.65975105824884,291.4407348449994,0.12713658809661865,0.14852499961853027,5
Detector only (all off),-112.44369064535756,91.94033608960584,5.849084600099877,90.0,1,2.0293156118,0.32440791717333345,86.21255229410885,289.41205715,0.11662673950195312,0.1331193447113037,6
Detector only (all off),-175.89744801973546,110.0846400146936,7.459710707348651,90.0,1,2.0187188369125,0.3229950139060001,98.65563041456568,323.806227044993,0.10942399501800537,0.13210439682006836,7
Detector only (all off),-132.56018720240783,95.36496672998406,-4.668411131043045,80.0,2,2.0187188348333334,0.32299501368000016,89.60375953927593,298.2915645187479,0.11046123504638672,0.1369342803955078,8
Detector only (all off),-113.62880436306301,95.36644291748127,9.07574732565685,80.0,2,2.0187188366999997,0.3229950138333334,95.48363565688699,316.1873793999989,0.16762781143188477,0.22965788841247559,9
Detector only (all off),-114.54586573679448,92.51193972375962,19.92660440641127,70.0,3,2.0187188360999997,0.3229950137466668,91.04570620973954,292.0080959549994,0.1250772476196289,0.15022683143615723,10
